ID,Trips_Per_Day,Distance_Travelled_PassengerKm_Per_Day,Time_Travelled_Minutes_Per_Day,Trips_Per_Year,Distance_Travelled_PassengerKm_Per_Year,Time_Travelled_Hours_Per_Year,TravelMotives,Population,TravelModes,Margins,RegionCharacteristics,Period
35338,0.02,0.54,0.61,6.0,197.0,3.7,Attending education/courses,Population: 12 years or older,Passenger car (driver),Value,Noord-Brabant (PV),2022
35339,0.02,0.47,0.56,6.0,170.0,3.4,Attending education/courses,Population: 12 years or older,Passenger car (driver),Value,Noord-Brabant (PV),2023
35346,0.01,0.2,0.33,4.0,74.0,2.0,Attending education/courses,Population: 12 years or older,Passenger car (driver),Value,Extremely urbanised,2018
35347,0.01,0.23,0.33,3.0,86.0,2.0,Attending education/courses,Population: 12 years or older,Passenger car (driver),Value,Extremely urbanised,2019
35348,0.01,0.19,0.25,2.0,69.0,1.5,Attending education/courses,Population: 12 years or older,Passenger car (driver),Value,Extremely urbanised,2020
35349,0.01,0.13,0.19,2.0,49.0,1.1,Attending education/courses,Population: 12 years or older,Passenger car (driver),Value,Extremely urbanised,2021
35350,0.01,0.27,0.35,4.0,98.0,2.2,Attending education/courses,Population: 12 years or older,Passenger car (driver),Value,Extremely urbanised,2022
35351,0.01,0.19,0.27,3.0,68.0,1.6,Attending education/courses,Population: 12 years or older,Passenger car (driver),Value,Extremely urbanised,2023
35352,0.02,0.35,0.48,6.0,129.0,2.9,Attending education/courses,Population: 12 years or older,Passenger car (driver),Value,Strongly urbanised,2018
35353,0.02,0.39,0.51,6.0,143.0,3.1,Attending education/courses,Population: 12 years or older,Passenger car (driver),Value,Strongly urbanised,2019
35354,0.01,0.21,0.27,3.0,78.0,1.6,Attending education/courses,Population: 12 years or older,Passenger car (driver),Value,Strongly urbanised,2020
35355,0.01,0.26,0.33,3.0,95.0,2.0,Attending education/courses,Population: 12 years or older,Passenger car (driver),Value,Strongly urbanised,2021
35356,0.01,0.26,0.35,4.0,95.0,2.1,Attending education/courses,Population: 12 years or older,Passenger car (driver),Value,Strongly urbanised,2022
35357,0.01,0.31,0.44,4.0,115.0,2.7,Attending education/courses,Population: 12 years or older,Passenger car (driver),Value,Strongly urbanised,2023
35358,0.02,0.49,0.65,7.0,180.0,3.9,Attending education/courses,Population: 12 years or older,Passenger car (driver),Value,Moderately urbanised,2018
35359,0.02,0.41,0.52,6.0,148.0,3.1,Attending education/courses,Population: 12 years or older,Passenger car (driver),Value,Moderately urbanised,2019
35362,0.01,0.39,0.45,4.0,142.0,2.7,Attending education/courses,Population: 12 years or older,Passenger car (driver),Value,Moderately urbanised,2022
35363,0.01,0.43,0.52,5.0,157.0,3.2,Attending education/courses,Population: 12 years or older,Passenger car (driver),Value,Moderately urbanised,2023
35364,0.02,0.56,0.72,8.0,206.0,4.4,Attending education/courses,Population: 12 years or older,Passenger car (driver),Value,Hardly urbanised,2018
35365,0.02,0.54,0.67,6.0,196.0,4.1,Attending education/courses,Population: 12 years or older,Passenger car (driver),Value,Hardly urbanised,2019
35366,0.01,0.26,0.3,4.0,96.0,1.9,Attending education/courses,Population: 12 years or older,Passenger car (driver),Value,Hardly urbanised,2020
35367,0.01,0.31,0.37,4.0,115.0,2.3,Attending education/courses,Population: 12 years or older,Passenger car (driver),Value,Hardly urbanised,2021
35368,0.01,0.49,0.52,5.0,179.0,3.2,Attending education/courses,Population: 12 years or older,Passenger car (driver),Value,Hardly urbanised,2022
35369,0.02,0.49,0.57,6.0,178.0,3.5,Attending education/courses,Population: 12 years or older,Passenger car (driver),Value,Hardly urbanised,2023
35370,0.02,0.82,0.91,8.0,300.0,5.6,Attending education/courses,Population: 12 years or older,Passenger car (driver),Value,Not urbanised,2018
35640,0.01,0.13,0.21,3.0,48.0,1.3,Attending education/courses,Population: 12 years or older,Passenger car (passenger),Value,The Netherlands,2018
35641,0.01,0.12,0.17,2.0,44.0,1.0,Attending education/courses,Population: 12 years or older,Passenger car (passenger),Value,The Netherlands,2019
35642,0.0,0.07,0.11,2.0,26.0,0.7,Attending education/courses,Population: 12 years or older,Passenger car (passenger),Value,The Netherlands,2020
35643,0.01,0.11,0.16,2.0,41.0,0.9,Attending education/courses,Population: 12 years or older,Passenger car (passenger),Value,The Netherlands,2021
35644,0.01,0.12,0.2,3.0,44.0,1.2,Attending education/courses,Population: 12 years or older,Passenger car (passenger),Value,The Netherlands,2022
35645,0.01,0.12,0.2,2.0,45.0,1.2,Attending education/courses,Population: 12 years or older,Passenger car (passenger),Value,The Netherlands,2023
35652,0.01,0.11,0.18,3.0,41.0,1.1,Attending education/courses,Population: 12 years or older,Passenger car (passenger),Value,Oost-Nederland (LD),2018
35658,0.01,0.11,0.2,2.0,42.0,1.2,Attending education/courses,Population: 12 years or older,Passenger car (passenger),Value,West-Nederland (LD),2018
35659,0.01,0.1,0.16,2.0,38.0,1.0,Attending education/courses,Population: 12 years or older,Passenger car (passenger),Value,West-Nederland (LD),2019
35660,0.0,0.06,0.11,2.0,22.0,0.7,Attending education/courses,Population: 12 years or older,Passenger car (passenger),Value,West-Nederland (LD),2020
35661,0.01,0.1,0.15,2.0,35.0,0.9,Attending education/courses,Population: 12 years or older,Passenger car (passenger),Value,West-Nederland (LD),2021
35662,0.01,0.12,0.19,2.0,43.0,1.2,Attending education/courses,Population: 12 years or older,Passenger car (passenger),Value,West-Nederland (LD),2022
35663,0.01,0.1,0.18,2.0,36.0,1.1,Attending education/courses,Population: 12 years or older,Passenger car (passenger),Value,West-Nederland (LD),2023
35664,0.01,0.12,0.21,3.0,42.0,1.3,Attending education/courses,Population: 12 years or older,Passenger car (passenger),Value,Zuid-Nederland (LD),2018
35668,0.01,0.15,0.25,4.0,55.0,1.5,Attending education/courses,Population: 12 years or older,Passenger car (passenger),Value,Zuid-Nederland (LD),2022
35712,0.01,0.11,0.2,2.0,40.0,1.2,Attending education/courses,Population: 12 years or older,Passenger car (passenger),Value,Noord-Holland (PV),2018
35744,0.0,0.04,0.1,2.0,15.0,0.6,Attending education/courses,Population: 12 years or older,Passenger car (passenger),Value,Extremely urbanised,2020
35745,0.0,0.05,0.09,2.0,17.0,0.5,Attending education/courses,Population: 12 years or older,Passenger car (passenger),Value,Extremely urbanised,2021
35746,0.01,0.07,0.14,2.0,25.0,0.9,Attending education/courses,Population: 12 years or older,Passenger car (passenger),Value,Extremely urbanised,2022
35747,0.01,0.08,0.15,2.0,29.0,0.9,Attending education/courses,Population: 12 years or older,Passenger car (passenger),Value,Extremely urbanised,2023
35748,0.01,0.1,0.16,2.0,38.0,1.0,Attending education/courses,Population: 12 years or older,Passenger car (passenger),Value,Strongly urbanised,2018
35751,0.01,0.13,0.18,2.0,48.0,1.1,Attending education/courses,Population: 12 years or older,Passenger car (passenger),Value,Strongly urbanised,2021
35752,0.01,0.12,0.19,2.0,43.0,1.1,Attending education/courses,Population: 12 years or older,Passenger car (passenger),Value,Strongly urbanised,2022
35753,0.01,0.09,0.18,2.0,34.0,1.1,Attending education/courses,Population: 12 years or older,Passenger car (passenger),Value,Strongly urbanised,2023
35754,0.01,0.11,0.2,3.0,39.0,1.2,Attending education/courses,Population: 12 years or older,Passenger car (passenger),Value,Moderately urbanised,2018
35760,0.01,0.23,0.36,4.0,85.0,2.2,Attending education/courses,Population: 12 years or older,Passenger car (passenger),Value,Hardly urbanised,2018
35761,0.01,0.14,0.18,2.0,49.0,1.1,Attending education/courses,Population: 12 years or older,Passenger car (passenger),Value,Hardly urbanised,2019
35764,0.01,0.14,0.21,3.0,53.0,1.3,Attending education/courses,Population: 12 years or older,Passenger car (passenger),Value,Hardly urbanised,2022
35765,0.01,0.17,0.24,3.0,63.0,1.5,Attending education/courses,Population: 12 years or older,Passenger car (passenger),Value,Hardly urbanised,2023
36036,0.02,0.68,1.16,6.0,247.0,7.0,Attending education/courses,Population: 12 years or older,Train,Value,The Netherlands,2018
36037,0.02,0.7,1.2,6.0,257.0,7.3,Attending education/courses,Population: 12 years or older,Train,Value,The Netherlands,2019
36038,0.01,0.23,0.43,2.0,85.0,2.6,Attending education/courses,Population: 12 years or older,Train,Value,The Netherlands,2020
36039,0.01,0.3,0.58,3.0,108.0,3.5,Attending education/courses,Population: 12 years or older,Train,Value,The Netherlands,2021
36040,0.01,0.44,0.81,4.0,162.0,4.9,Attending education/courses,Population: 12 years or older,Train,Value,The Netherlands,2022
36041,0.01,0.51,0.97,5.0,187.0,5.9,Attending education/courses,Population: 12 years or older,Train,Value,The Netherlands,2023
36042,0.02,0.77,1.2,6.0,282.0,7.3,Attending education/courses,Population: 12 years or older,Train,Value,Noord-Nederland (LD),2018
36048,0.02,0.67,1.12,6.0,245.0,6.8,Attending education/courses,Population: 12 years or older,Train,Value,Oost-Nederland (LD),2018
36049,0.02,0.99,1.62,8.0,363.0,9.9,Attending education/courses,Population: 12 years or older,Train,Value,Oost-Nederland (LD),2019
36050,0.01,0.29,0.54,3.0,107.0,3.3,Attending education/courses,Population: 12 years or older,Train,Value,Oost-Nederland (LD),2020
36051,0.01,0.35,0.67,3.0,126.0,4.1,Attending education/courses,Population: 12 years or older,Train,Value,Oost-Nederland (LD),2021
36052,0.02,0.65,1.12,6.0,237.0,6.8,Attending education/courses,Population: 12 years or older,Train,Value,Oost-Nederland (LD),2022
36053,0.02,0.61,1.13,6.0,223.0,6.9,Attending education/courses,Population: 12 years or older,Train,Value,Oost-Nederland (LD),2023
36054,0.02,0.6,1.1,6.0,218.0,6.7,Attending education/courses,Population: 12 years or older,Train,Value,West-Nederland (LD),2018
36055,0.01,0.55,1.03,5.0,202.0,6.2,Attending education/courses,Population: 12 years or older,Train,Value,West-Nederland (LD),2019
36056,0.01,0.22,0.45,2.0,80.0,2.8,Attending education/courses,Population: 12 years or older,Train,Value,West-Nederland (LD),2020
36057,0.01,0.29,0.59,3.0,105.0,3.6,Attending education/courses,Population: 12 years or older,Train,Value,West-Nederland (LD),2021
36058,0.01,0.39,0.78,4.0,142.0,4.8,Attending education/courses,Population: 12 years or older,Train,Value,West-Nederland (LD),2022
36059,0.01,0.46,0.93,4.0,168.0,5.7,Attending education/courses,Population: 12 years or older,Train,Value,West-Nederland (LD),2023
36060,0.02,0.82,1.29,6.0,299.0,7.8,Attending education/courses,Population: 12 years or older,Train,Value,Zuid-Nederland (LD),2018
36061,0.02,0.79,1.26,6.0,289.0,7.7,Attending education/courses,Population: 12 years or older,Train,Value,Zuid-Nederland (LD),2019
36064,0.01,0.4,0.69,4.0,147.0,4.2,Attending education/courses,Population: 12 years or older,Train,Value,Zuid-Nederland (LD),2022
36065,0.01,0.5,0.92,4.0,182.0,5.6,Attending education/courses,Population: 12 years or older,Train,Value,Zuid-Nederland (LD),2023
36096,0.01,0.69,1.14,5.0,251.0,6.9,Attending education/courses,Population: 12 years or older,Train,Value,Gelderland (PV),2018
36097,0.02,0.81,1.44,7.0,295.0,8.8,Attending education/courses,Population: 12 years or older,Train,Value,Gelderland (PV),2019
36100,0.02,0.67,1.15,6.0,244.0,7.0,Attending education/courses,Population: 12 years or older,Train,Value,Gelderland (PV),2022
36101,0.02,0.49,1.06,6.0,178.0,6.5,Attending education/courses,Population: 12 years or older,Train,Value,Gelderland (PV),2023
36102,0.02,0.59,0.98,6.0,214.0,5.9,Attending education/courses,Population: 12 years or older,Train,Value,Utrecht (PV),2018
36105,0.01,0.36,0.69,4.0,132.0,4.2,Attending education/courses,Population: 12 years or older,Train,Value,Utrecht (PV),2021
36106,0.01,0.49,0.92,5.0,180.0,5.6,Attending education/courses,Population: 12 years or older,Train,Value,Utrecht (PV),2022
36107,0.02,0.57,1.14,6.0,208.0,6.9,Attending education/courses,Population: 12 years or older,Train,Value,Utrecht (PV),2023
36108,0.02,0.68,1.28,6.0,248.0,7.8,Attending education/courses,Population: 12 years or older,Train,Value,Noord-Holland (PV),2018
36109,0.02,0.62,1.2,6.0,226.0,7.3,Attending education/courses,Population: 12 years or older,Train,Value,Noord-Holland (PV),2019
36111,0.01,0.34,0.68,3.0,123.0,4.2,Attending education/courses,Population: 12 years or older,Train,Value,Noord-Holland (PV),2021
36112,0.01,0.46,0.94,5.0,169.0,5.7,Attending education/courses,Population: 12 years or older,Train,Value,Noord-Holland (PV),2022
36113,0.01,0.48,1.01,5.0,175.0,6.2,Attending education/courses,Population: 12 years or older,Train,Value,Noord-Holland (PV),2023
36114,0.01,0.53,1.02,5.0,192.0,6.2,Attending education/courses,Population: 12 years or older,Train,Value,Zuid-Holland (PV),2018
36115,0.01,0.52,0.98,5.0,191.0,5.9,Attending education/courses,Population: 12 years or older,Train,Value,Zuid-Holland (PV),2019
36116,0.01,0.2,0.42,2.0,73.0,2.6,Attending education/courses,Population: 12 years or older,Train,Value,Zuid-Holland (PV),2020
36117,0.01,0.24,0.53,3.0,89.0,3.2,Attending education/courses,Population: 12 years or older,Train,Value,Zuid-Holland (PV),2021
36118,0.01,0.31,0.66,3.0,113.0,4.0,Attending education/courses,Population: 12 years or older,Train,Value,Zuid-Holland (PV),2022
36119,0.01,0.42,0.84,4.0,154.0,5.1,Attending education/courses,Population: 12 years or older,Train,Value,Zuid-Holland (PV),2023
36126,0.01,0.66,1.04,5.0,242.0,6.3,Attending education/courses,Population: 12 years or older,Train,Value,Noord-Brabant (PV),2018
36127,0.02,0.88,1.34,7.0,322.0,8.2,Attending education/courses,Population: 12 years or older,Train,Value,Noord-Brabant (PV),2019
36131,0.01,0.47,0.93,4.0,173.0,5.7,Attending education/courses,Population: 12 years or older,Train,Value,Noord-Brabant (PV),2023
36132,0.02,1.17,1.83,9.0,426.0,11.1,Attending education/courses,Population: 12 years or older,Train,Value,Limburg (PV),2018
36138,0.01,0.67,1.1,5.0,243.0,6.7,Attending education/courses,Population: 12 years or older,Train,Value,Extremely urbanised,2018
36139,0.02,0.68,1.16,6.0,249.0,7.1,Attending education/courses,Population: 12 years or older,Train,Value,Extremely urbanised,2019
36140,0.01,0.2,0.37,2.0,72.0,2.3,Attending education/courses,Population: 12 years or older,Train,Value,Extremely urbanised,2020
36141,0.01,0.3,0.55,3.0,110.0,3.3,Attending education/courses,Population: 12 years or older,Train,Value,Extremely urbanised,2021
36142,0.01,0.36,0.67,4.0,133.0,4.1,Attending education/courses,Population: 12 years or older,Train,Value,Extremely urbanised,2022
36143,0.01,0.47,0.88,4.0,172.0,5.4,Attending education/courses,Population: 12 years or older,Train,Value,Extremely urbanised,2023
36144,0.02,0.75,1.31,7.0,275.0,8.0,Attending education/courses,Population: 12 years or older,Train,Value,Strongly urbanised,2018
36145,0.02,0.85,1.3,6.0,309.0,7.9,Attending education/courses,Population: 12 years or older,Train,Value,Strongly urbanised,2019
36146,0.01,0.25,0.46,2.0,91.0,2.8,Attending education/courses,Population: 12 years or older,Train,Value,Strongly urbanised,2020
36147,0.01,0.31,0.64,3.0,112.0,3.9,Attending education/courses,Population: 12 years or older,Train,Value,Strongly urbanised,2021
36148,0.01,0.5,0.86,4.0,182.0,5.2,Attending education/courses,Population: 12 years or older,Train,Value,Strongly urbanised,2022
36149,0.02,0.63,1.18,6.0,230.0,7.2,Attending education/courses,Population: 12 years or older,Train,Value,Strongly urbanised,2023
36150,0.02,0.69,1.17,7.0,250.0,7.1,Attending education/courses,Population: 12 years or older,Train,Value,Moderately urbanised,2018
36151,0.02,0.72,1.27,6.0,262.0,7.7,Attending education/courses,Population: 12 years or older,Train,Value,Moderately urbanised,2019
36154,0.02,0.54,1.08,6.0,197.0,6.6,Attending education/courses,Population: 12 years or older,Train,Value,Moderately urbanised,2022
36155,0.02,0.57,1.13,6.0,208.0,6.9,Attending education/courses,Population: 12 years or older,Train,Value,Moderately urbanised,2023
36156,0.01,0.61,1.02,5.0,221.0,6.2,Attending education/courses,Population: 12 years or older,Train,Value,Hardly urbanised,2018
36157,0.01,0.53,1.04,5.0,195.0,6.3,Attending education/courses,Population: 12 years or older,Train,Value,Hardly urbanised,2019
36159,0.01,0.26,0.56,3.0,95.0,3.4,Attending education/courses,Population: 12 years or older,Train,Value,Hardly urbanised,2021
36160,0.01,0.4,0.71,4.0,146.0,4.3,Attending education/courses,Population: 12 years or older,Train,Value,Hardly urbanised,2022
36161,0.01,0.4,0.73,3.0,146.0,4.5,Attending education/courses,Population: 12 years or older,Train,Value,Hardly urbanised,2023
36432,0.02,0.33,0.84,7.0,119.0,5.1,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,The Netherlands,2018
36433,0.02,0.31,0.77,6.0,114.0,4.7,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,The Netherlands,2019
36434,0.01,0.14,0.36,3.0,52.0,2.2,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,The Netherlands,2020
36435,0.01,0.15,0.39,3.0,54.0,2.4,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,The Netherlands,2021
36436,0.01,0.23,0.65,5.0,84.0,4.0,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,The Netherlands,2022
36437,0.01,0.21,0.58,4.0,75.0,3.5,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,The Netherlands,2023
36438,0.02,0.55,1.15,7.0,201.0,7.0,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Noord-Nederland (LD),2018
36444,0.01,0.21,0.43,3.0,76.0,2.6,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Oost-Nederland (LD),2018
36445,0.01,0.24,0.49,4.0,89.0,3.0,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Oost-Nederland (LD),2019
36448,0.01,0.17,0.39,3.0,62.0,2.4,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Oost-Nederland (LD),2022
36449,0.01,0.13,0.3,2.0,48.0,1.8,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Oost-Nederland (LD),2023
36450,0.02,0.36,1.02,9.0,131.0,6.2,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,West-Nederland (LD),2018
36451,0.02,0.34,0.94,8.0,123.0,5.7,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,West-Nederland (LD),2019
36452,0.01,0.17,0.45,4.0,61.0,2.8,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,West-Nederland (LD),2020
36453,0.01,0.19,0.55,4.0,70.0,3.4,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,West-Nederland (LD),2021
36454,0.02,0.26,0.81,7.0,95.0,4.9,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,West-Nederland (LD),2022
36455,0.02,0.26,0.83,6.0,94.0,5.0,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,West-Nederland (LD),2023
36456,0.01,0.27,0.68,5.0,99.0,4.1,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Zuid-Nederland (LD),2018
36457,0.01,0.26,0.59,4.0,95.0,3.6,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Zuid-Nederland (LD),2019
36492,0.01,0.22,0.45,4.0,80.0,2.7,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Gelderland (PV),2018
36502,0.01,0.28,0.78,5.0,100.0,4.8,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Utrecht (PV),2022
36503,0.01,0.22,0.69,5.0,79.0,4.2,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Utrecht (PV),2023
36504,0.02,0.33,0.93,8.0,122.0,5.7,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Noord-Holland (PV),2018
36505,0.02,0.31,0.86,7.0,113.0,5.2,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Noord-Holland (PV),2019
36506,0.01,0.18,0.48,4.0,65.0,2.9,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Noord-Holland (PV),2020
36507,0.01,0.16,0.46,4.0,57.0,2.8,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Noord-Holland (PV),2021
36508,0.02,0.27,0.81,7.0,97.0,4.9,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Noord-Holland (PV),2022
36509,0.02,0.21,0.69,6.0,77.0,4.2,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Noord-Holland (PV),2023
36510,0.03,0.41,1.22,10.0,150.0,7.4,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Zuid-Holland (PV),2018
36511,0.03,0.41,1.2,9.0,149.0,7.3,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Zuid-Holland (PV),2019
36512,0.01,0.16,0.46,4.0,57.0,2.8,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Zuid-Holland (PV),2020
36513,0.01,0.21,0.63,5.0,77.0,3.8,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Zuid-Holland (PV),2021
36514,0.02,0.24,0.83,7.0,88.0,5.1,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Zuid-Holland (PV),2022
36515,0.02,0.3,0.99,8.0,108.0,6.0,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Zuid-Holland (PV),2023
36522,0.01,0.27,0.69,4.0,97.0,4.2,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Noord-Brabant (PV),2018
36534,0.03,0.34,1.19,11.0,126.0,7.2,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Extremely urbanised,2018
36535,0.02,0.31,0.96,9.0,113.0,5.9,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Extremely urbanised,2019
36536,0.01,0.13,0.48,5.0,49.0,2.9,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Extremely urbanised,2020
36537,0.01,0.15,0.54,5.0,53.0,3.3,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Extremely urbanised,2021
36538,0.02,0.22,0.94,9.0,79.0,5.7,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Extremely urbanised,2022
36539,0.02,0.18,0.79,7.0,68.0,4.8,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Extremely urbanised,2023
36540,0.01,0.24,0.55,5.0,88.0,3.4,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Strongly urbanised,2018
36541,0.01,0.23,0.6,4.0,82.0,3.7,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Strongly urbanised,2019
36542,0.0,0.09,0.2,2.0,33.0,1.2,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Strongly urbanised,2020
36543,0.01,0.12,0.3,2.0,45.0,1.8,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Strongly urbanised,2021
36544,0.01,0.15,0.35,3.0,53.0,2.1,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Strongly urbanised,2022
36545,0.01,0.17,0.43,4.0,61.0,2.6,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Strongly urbanised,2023
36546,0.01,0.31,0.66,4.0,112.0,4.0,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Moderately urbanised,2018
36547,0.01,0.3,0.64,5.0,109.0,3.9,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Moderately urbanised,2019
36550,0.01,0.2,0.42,3.0,72.0,2.6,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Moderately urbanised,2022
36551,0.01,0.23,0.51,3.0,85.0,3.1,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Moderately urbanised,2023
36552,0.02,0.39,0.88,6.0,143.0,5.4,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Hardly urbanised,2018
36553,0.02,0.39,0.79,6.0,141.0,4.8,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Hardly urbanised,2019
36555,0.01,0.22,0.48,3.0,82.0,2.9,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Hardly urbanised,2021
36556,0.01,0.28,0.62,4.0,103.0,3.8,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Hardly urbanised,2022
36557,0.01,0.22,0.5,3.0,79.0,3.0,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Hardly urbanised,2023
36558,0.02,0.46,1.05,6.0,169.0,6.4,Attending education/courses,Population: 12 years or older,Bus/tram/metro,Value,Not urbanised,2018
36828,0.08,0.39,1.75,29.0,143.0,10.6,Attending education/courses,Population: 12 years or older,Bike,Value,The Netherlands,2018
36829,0.08,0.38,1.73,29.0,140.0,10.5,Attending education/courses,Population: 12 years or older,Bike,Value,The Netherlands,2019
36830,0.05,0.23,1.05,17.0,85.0,6.4,Attending education/courses,Population: 12 years or older,Bike,Value,The Netherlands,2020
36831,0.05,0.23,1.08,18.0,85.0,6.6,Attending education/courses,Population: 12 years or older,Bike,Value,The Netherlands,2021
36832,0.07,0.31,1.43,24.0,115.0,8.7,Attending education/courses,Population: 12 years or older,Bike,Value,The Netherlands,2022
36833,0.07,0.33,1.47,24.0,122.0,8.9,Attending education/courses,Population: 12 years or older,Bike,Value,The Netherlands,2023
36834,0.09,0.45,1.87,33.0,165.0,11.3,Attending education/courses,Population: 12 years or older,Bike,Value,Noord-Nederland (LD),2018
36835,0.09,0.43,1.84,32.0,158.0,11.2,Attending education/courses,Population: 12 years or older,Bike,Value,Noord-Nederland (LD),2019
36836,0.05,0.27,1.15,19.0,101.0,7.0,Attending education/courses,Population: 12 years or older,Bike,Value,Noord-Nederland (LD),2020
36837,0.05,0.26,1.04,18.0,96.0,6.4,Attending education/courses,Population: 12 years or older,Bike,Value,Noord-Nederland (LD),2021
36838,0.07,0.38,1.52,24.0,137.0,9.3,Attending education/courses,Population: 12 years or older,Bike,Value,Noord-Nederland (LD),2022
36839,0.06,0.38,1.45,23.0,139.0,8.8,Attending education/courses,Population: 12 years or older,Bike,Value,Noord-Nederland (LD),2023
36840,0.09,0.47,2.04,32.0,173.0,12.4,Attending education/courses,Population: 12 years or older,Bike,Value,Oost-Nederland (LD),2018
36841,0.09,0.45,1.97,34.0,165.0,12.0,Attending education/courses,Population: 12 years or older,Bike,Value,Oost-Nederland (LD),2019
36842,0.06,0.3,1.29,21.0,111.0,7.9,Attending education/courses,Population: 12 years or older,Bike,Value,Oost-Nederland (LD),2020
36843,0.05,0.28,1.18,19.0,102.0,7.2,Attending education/courses,Population: 12 years or older,Bike,Value,Oost-Nederland (LD),2021
36844,0.07,0.34,1.45,24.0,125.0,8.8,Attending education/courses,Population: 12 years or older,Bike,Value,Oost-Nederland (LD),2022
36845,0.07,0.39,1.65,26.0,143.0,10.0,Attending education/courses,Population: 12 years or older,Bike,Value,Oost-Nederland (LD),2023
36846,0.08,0.36,1.62,28.0,130.0,9.9,Attending education/courses,Population: 12 years or older,Bike,Value,West-Nederland (LD),2018
36847,0.08,0.36,1.67,29.0,132.0,10.2,Attending education/courses,Population: 12 years or older,Bike,Value,West-Nederland (LD),2019
36848,0.04,0.21,0.99,16.0,77.0,6.0,Attending education/courses,Population: 12 years or older,Bike,Value,West-Nederland (LD),2020
36849,0.05,0.22,1.07,18.0,79.0,6.5,Attending education/courses,Population: 12 years or older,Bike,Value,West-Nederland (LD),2021
36850,0.07,0.3,1.43,24.0,110.0,8.7,Attending education/courses,Population: 12 years or older,Bike,Value,West-Nederland (LD),2022
36851,0.07,0.31,1.46,25.0,115.0,8.9,Attending education/courses,Population: 12 years or older,Bike,Value,West-Nederland (LD),2023
36852,0.07,0.37,1.67,27.0,134.0,10.2,Attending education/courses,Population: 12 years or older,Bike,Value,Zuid-Nederland (LD),2018
36853,0.07,0.34,1.58,26.0,126.0,9.6,Attending education/courses,Population: 12 years or older,Bike,Value,Zuid-Nederland (LD),2019
36854,0.04,0.2,0.91,16.0,71.0,5.6,Attending education/courses,Population: 12 years or older,Bike,Value,Zuid-Nederland (LD),2020
